CRMS Site,Latitude,Longitude,NGOM2
CRMS3639,29.90427,-89.85423,0.54914
CRMS3641,29.91879,-89.85423,0.27569
CRMS3650,30.0567,-89.82298,0.71500
CRMS3664,29.91153,-89.82298,0.36980
CRMS3667,30.25993,-89.88548,0.23200
CRMS3680,29.51235,-89.79173,0.34039
CRMS3784,30.15832,-89.66672,-0.27100
CRMS3800,29.83896,-89.66672,0.09962
CRMS3913,30.16557,-90.47925,0.34200
CRMS3985,29.7175,-90.14901,0.18448
CRMS4014,29.54863,-91.32302,0.49100
CRMS4016,29.56315,-91.38552,0.53200
CRMS4045,29.38169,-91.01051,0.36287
CRMS4094,30.38572,-90.14679,0.47500
CRMS4103,29.6575,-90.04173,-0.20769
CRMS4107,30.0567,-89.85423,0.00000
CRMS4110,30.20187,-89.66672,-0.45500
CRMS4218,29.56315,-90.16674,-1.81052
CRMS4245,29.67202,-90.13549,-0.08699
CRMS4355,29.83896,-89.82298,0.31104
CRMS4406,30.20187,-89.72922,0.18700
CRMS4407,30.22363,-89.72922,0.28600
CRMS4448,29.21475,-89.22921,0.05350
CRMS4455,29.2583,-90.94801,0.48805
CRMS4529,29.46879,-89.82298,-0.05532
CRMS4548,29.86073,-89.66672,0.23236
CRMS4551,29.85348,-89.60422,0.17991
CRMS4557,29.82444,-89.57297,0.00000
CRMS4572,30.0567,-89.47921,0.18053
CRMS4596,30.0567,-89.44796,0.21982
CRMS4626,29.33814,-89.19796,0.29063
CRMS4690,29.49783,-90.04174,0.18716
CRMS4779,29.64299,-91.44736,0.49600
CRMS4782,29.66477,-91.44702,1.05500
CRMS4808,29.63574,-91.41576,0.49500
CRMS4809,29.65026,-91.41553,0.53200
CRMS4900,29.63573,-91.2594,0.63000
CRMS4938,29.61395,-91.32278,0.47600
CRMS5003,29.62122,-91.29092,0.66800
CRMS5035,29.62121,-91.03966,0.32303
CRMS5116,29.96955,-90.90878,0.55300
CRMS5167,30.14367,-90.77862,0.28700
CRMS5255,30.19451,-90.59718,0.30800
CRMS5267,30.29963,-90.6023,0.77786
CRMS5373,30.10068,-90.63077,0.26000
CRMS5414,30.15824,-90.63067,0.28400
CRMS5452,30.36863,-90.53218,0.35400
CRMS5536,29.96961,-91.12931,0.86200
CRMS5672,29.86795,-90.84838,0.37700
CRMS5770,29.7594,-90.90085,0.57293
CRMS5845,30.18719,-90.68545,0.25400
CRMS5992,29.77364,-91.54136,0.32691
CRMS6008,29.62848,-91.47873,0.60800
CRMS6038,29.6067,-91.35392,0.50600
CRMS6042,29.63574,-91.35345,0.83400
CRMS6088,30.3116,-89.66222,0.58780
CRMS6090,30.32511,-89.6628,0.50317
CRMS6209,30.37605,-90.25989,0.23300
CRMS6299,30.05059,-90.35142,0.17500
CRMS6301,29.96036,-93.40959,0.44016
CRMS6302,30.03997,-93.42292,0.86933
CRMS6303,29.47261,-90.19157,0.64203
CRMS6304,29.42376,-91.27523,0.21800
